	Country or Area	Year	Value
0	Albania	2017	2876591.0
1	Albania	2017	2873458.0
2	Albania	2016	2886026.0
3	Albania	2016	2876101.0
4	Albania	2015	2892303.0
5	Albania	2015	2880703.0
6	Albania	2014	2895947.0
7	Albania	2014	2889104.0
8	Albania	2013	2895092.0
9	Albania	2012	2900401.0
10	Albania	2011	2800138.0
11	Albania	2011	2904780.0
12	Albania	2010	2913021.0
13	Albania	2009	2927519.0
14	Albania	2008	2947314.0
15	Albania	2007	2970017.0
16	Albania	2006	2992547.0
17	Albania	2005	3011487.0
18	Albania	2004	3026939.0
19	Albania	2003	3039616.0
20	Albania	2002	3051010.0
21	Albania	2001	3069275.0
22	Albania	2001	3060173.0
23	Albania	2000	3060907.5
24	Albania	1999	3053830.752
25	Albania	1998	3055331.182
26	Albania	1997	3074831.916
27	Albania	1996	3075545.172
28	Albania	1995	3050011.687
29	Albania	1994	3035180.5
30	Albania	1993	3064201.5
31	Albania	1992	3102736.0
32	Albania	1991	3125522.0
33	Albania	1990	3255891.0
34	Albania	1989	3182400.0
35	Albania	1989	3199233.0
36	Albania	1988	3138100.0
37	Albania	1987	3076100.0
38	Albania	1986	3016200.0
39	Albania	1985	2957400.0
40	Albania	1984	2896700.0
41	Albania	1983	2838100.0
42	Albania	1982	2780300.0
43	Albania	1981	2723700.0
44	Albania	1980	2670500.0
45	Albania	1979	2590600.0
46	Albania	1979	2617200.0
47	Albania	1978	2563000.0
48	Albania	1977	2508000.0
49	Albania	1976	2453800.0
50	Albania	1975	2400800.0
51	Albania	1974	2346900.0
52	Albania	1973	2294400.0
53	Albania	1972	2241500.0
54	Albania	1971	2187200.0
55	Albania	1970	2135600.0
56	Albania	1969	2068100.0
57	Albania	1969	2079800.0
58	Albania	1968	2018800.0
59	Albania	1967	1964730.0
60	Albania	1966	1923000.0
61	Albania	1965	1870000.0
62	Albania	1964	1817000.0
63	Albania	1963	1764000.0
64	Albania	1962	1712000.0
65	Albania	1961	1660000.0
66	Albania	1960	1626315.0
67	Albania	1960	1611000.0
68	Albania	1959	1556020.0
69	Albania	1958	1506594.0
70	Albania	1957	1462120.0
71	Albania	1956	1420500.0
72	Albania	1955	1391499.0
73	Albania	1955	1379000.0
74	Albania	1954	1340000.0
75	Albania	1953	1302000.0
76	Albania	1952	1270000.0
77	Albania	1951	1242000.0
78	Albania	1950	1218943.0
79	Albania	1950	1215000.0
80	Albania	1949	1183000.0
81	Albania	1948	1164000.0
82	Austria	2017	8772865.0
83	Austria	2016	8690076.0
84	Austria	2016	8739806.0
85	Austria	2015	8576261.0
86	Austria	2015	8629496.375
87	Austria	2014	8507786.0
88	Austria	2014	8543974.75
89	Austria	2013	8451860.0
90	Austria	2013	8477230.0
91	Austria	2012	8408121.0
92	Austria	2012	8426311.0
93	Austria	2011	8401940.0
94	Austria	2011	8404252.0
95	Austria	2011	8388534.0
96	Austria	2010	8375290.0
97	Austria	2010	8361069.0
98	Austria	2009	8355260.0
99	Austria	2009	8341483.0
100	Austria	2008	8331930.0
101	Austria	2008	8321541.0
102	Austria	2007	8298923.0
103	Austria	2007	8295189.0
104	Austria	2006	8267948.0
105	Austria	2005	8225278.0
106	Austria	2004	8169441.0
107	Austria	2003	8118245.0
108	Austria	2002	8082121.0
109	Austria	2001	8032926.0
110	Austria	2001	8042293.0
111	Austria	2000	8011566.0
112	Austria	1999	7992323.0
113	Austria	1998	7976789.0
114	Austria	1997	7968041.0
115	Austria	1996	7959016.0
116	Austria	1995	7948278.0
117	Austria	1994	7936118.0
118	Austria	1993	7905632.0
119	Austria	1992	7840709.0
120	Austria	1991	7795786.0
121	Austria	1991	7754891.0
122	Austria	1990	7677850.0
123	Austria	1989	7619566.0
124	Austria	1988	7585317.0
125	Austria	1987	7574586.0
126	Austria	1986	7569794.0
127	Austria	1985	7564984.0
128	Austria	1984	7561434.0
129	Austria	1983	7561910.0
130	Austria	1982	7574140.0
131	Austria	1981	7555338.0
132	Austria	1981	7568710.0
133	Austria	1980	7505151.0
134	Austria	1980	7549433.0
