"Country or Area","Year","Area","Sex","Record Type","Reliability","Source Year","Value","Value Footnotes"
"Albania","2017","Total","Both Sexes","Estimate - de jure","Final figure, complete","2018","2876591",""
"Albania","2017","Total","Both Sexes","Estimate - de jure","Final figure, complete","2018","2873458",""
"Albania","2016","Total","Both Sexes","Estimate - de jure","Final figure, complete","2016","2886026",""
"Albania","2016","Total","Both Sexes","Estimate - de jure","Final figure, complete","2017","2876101",""
"Albania","2015","Total","Both Sexes","Estimate - de jure","Final figure, complete","2016","2892303",""
"Albania","2015","Total","Both Sexes","Estimate - de jure","Final figure, complete","2017","2880703",""
"Albania","2014","Total","Both Sexes","Estimate - de jure","Final figure, complete","2015","2895947",""
"Albania","2014","Total","Both Sexes","Estimate - de jure","Final figure, complete","2017","2889104",""
"Albania","2013","Total","Both Sexes","Estimate - de jure","Final figure, complete","2017","2895092",""
"Albania","2012","Total","Both Sexes","Estimate - de jure","Final figure, complete","2017","2900401",""
"Albania","2011","Total","Both Sexes","Census - de jure - complete tabulation","Final figure, complete","2013","2800138",""
"Albania","2011","Total","Both Sexes","Estimate - de jure","Final figure, complete","2014","2904780",""
"Albania","2010","Total","Both Sexes","Estimate - de facto","Final figure, complete","2014","2913021",""
"Albania","2009","Total","Both Sexes","Estimate - de facto","Final figure, complete","2014","2927519",""
"Albania","2008","Total","Both Sexes","Estimate - de facto","Final figure, complete","2014","2947314",""
"Albania","2007","Total","Both Sexes","Estimate - de facto","Final figure, complete","2014","2970017",""
"Albania","2006","Total","Both Sexes","Estimate - de facto","Final figure, complete","2014","2992547",""
"Albania","2005","Total","Both Sexes","Estimate - de facto","Final figure, complete","2014","3011487",""
"Albania","2004","Total","Both Sexes","Estimate - de facto","Final figure, complete","2014","3026939",""
"Albania","2003","Total","Both Sexes","Estimate - de facto","Final figure, complete","2014","3039616",""
"Albania","2002","Total","Both Sexes","Estimate - de facto","Final figure, complete","2014","3051010",""
"Albania","2001","Total","Both Sexes","Census - de facto - complete tabulation","Final figure, complete","2009","3069275",""
