,ID89,name89,region,okrug,oblast_center,CityStatus,RaionCenter,Gubernia,Latitude,Longitude,lat2,long2,latlong,pop1897,pop1926,pop1939,pop1959,pop1970,pop1979,pop1989,pop2002,pop2010,mp1897,mp1926,mp1939,mp1959,mp1970,mp1979,mp1989,mp2002,mp2010,spop1897,spop1926,spop1939,spop1959,spop1970,spop1979,spop1989,spop2002,spop2010,smp1897,smp1926,smp1939,smp1959,smp1970,smp1979,smp1989,smp2002,smp2010,log_pop1897,log_pop1926,log_pop1939,log_pop1959,log_pop1970,log_pop1979,log_pop1989,log_pop2002,log_pop2010,lag_log_pop1897,lag_log_pop1926,lag_log_pop1939,lag_log_pop1959,lag_log_pop1970,lag_log_pop1979,lag_log_pop1989,lag_log_pop2002,lag_log_pop2010,log_mp1897,log_mp1926,log_mp1939,log_mp1959,log_mp1970,log_mp1979,log_mp1989,log_mp2002,log_mp2010
,6,Petrozavodsk,Karel'skaia ASSR,Severno-Zapadny,1,1,,27.0,61.79,34.38,"3818,0041","1181,9844","2124,3402",12522,26344,69723,136294,192000,234100,269485,266160,263540,12469.55297,20188.99521,43023.3891,58664.87125,74501.47357,87887.14504,111983.0228,109624.0164,102032.1389,89.0237987,103.611956,124.3734725,139.7731519,147.9933234,152.8562226,156.3567184,156.0463891,155.7993364,88.94461337,98.2654465,113.8382127,120.5515367,125.8564067,129.5911034,135.1662607,134.6716559,133.0110838,9.435242376,10.17899582,11.15228553,11.8225696,12.16525065,12.36350365,12.50426801,12.49185291,12.48196044,,,,,,,,,,,,,,,,,,
1,8,Kostomuksha,Karel'skaia ASSR,Severno-Zapadny,,1,,27.0,64.8,30.67,"4199,04","940,6489","1987,416",,,,,,4400,30432,29746,28993,8175.21833,13509.87759,29156.47006,41289.87834,52873.1446,62486.02224,80496.09891,78466.4716,72911.87715,,,,,,70.38135819,106.5694898,106.0992691,105.5717144,81.15960719,90.46247594,105.6872847,112.9623057,118.2797809,121.9411828,127.5988027,127.022518,125.3729619,,,,,,8.38935982,10.32324997,10.30044995,10.2748097,9.435242376,10.17899582,11.15228553,11.8225696,12.16525065,12.36350365,12.50426801,12.49185291,12.48196044,12469.55297,20188.99521,43023.3891,58664.87125,74501.47357,87887.14504,111983.0228,109624.0164,102032.1389
2,10,Sortavala,Karel'skaia ASSR,Severno-Zapadny,,1,,27.0,61.71,30.07,"3808,1241","942,49","1894,497",2041,4732,4577,17611,22200,21600,29708,27527,32269,14388.69825,22170.24704,46662.63678,61054.38345,76513.24804,90301.52686,114014.5762,111193.4526,104420.354,58.08261571,71.60719099,71.04465327,95.57563081,100.1570129,99.60935413,106.0729367,104.5081469,107.7830647,91.66527374,100.1301712,115.5775302,121.4298272,126.4549544,130.208859,135.5846358,135.0017833,133.5452938,7.621195163,8.462103225,8.428799041,9.776278986,10.00784757,9.980448594,10.29917165,10.22292262,10.3818623,,,,,,8.38935982,10.32324997,10.30044995,10.2748097,8175.21833,13509.87759,29156.47006,41289.87834,52873.1446,62486.02224,80496.09891,78466.4716,72911.87715
3,15,Belomorsk,Karel'skaia ASSR,Severno-Zapadny,,1,1,1.0,64.55,34.77,"4166,7025","1208,9529","2244,4035",,6114,10457,14800,16600,18100,18935,13103,11217,8592.512011,14416.26459,31461.93916,44953.61107,57757.28833,68240.7633,87872.74137,85533.37867,79383.79514,,76.00939137,85.65552273,92.2057489,94.4231591,96.11189091,96.99821812,89.88170982,86.95908953,82.05907472,91.70192742,107.2577926,114.7766476,120.2094018,123.89465,129.5873718,128.9737712,127.2846417,,8.718336502,9.25502689,9.60238246,9.717157974,9.803667217,9.84876734,9.480596491,9.325185764,7.621195163,8.462103225,8.428799041,9.776278986,10.00784757,9.980448594,10.29917165,10.22292262,10.3818623,14388.69825,22170.24704,46662.63678,61054.38345,76513.24804,90301.52686,114014.5762,111193.4526,104420.354
4,21,Kalevala,Karel'skaia ASSR,Severno-Zapadny,,,1,27.0,65.21,31.2,"4252,3441","973,44","2034,552",,,,,,,5150,5578,4528,7847.329796,13053.79902,28322.88793,40401.42463,51820.55223,61337.79972,79594.31942,77458.23936,71946.85659,,,,,,,73.04696964,74.41797857,70.8633237,80.42374337,89.81039181,105.0917251,112.5003948,117.8427945,121.5319178,127.3444091,126.7311762,125.0747659,,,,,,,8.546751994,8.626585568,8.41803562,,8.718336502,9.25502689,9.60238246,9.717157974,9.803667217,9.84876734,9.480596491,9.325185764,8592.512011,14416.26459,31461.93916,44953.61107,57757.28833,68240.7633,87872.74137,85533.37867,79383.79514
5,24,Kem',Karel'skaia ASSR,Severno-Zapadny,,1,1,1.0,64.96,34.57,"4219,8016","1195,0849","2245,6672",2447,6589,16624,18127,21000,21000,18522,14620,13061,8160.901128,13801.86455,30082.57344,43242.08494,55587.59581,65736.18442,84894.24522,82512.70654,76547.95599,60.88084864,77.31960776,94.4512387,96.14111984,99.04783175,99.04783175,96.56431774,91.97089519,89.82084482,81.12802829,90.8696806,106.3311843,113.9464338,119.3712561,123.0636302,128.8034687,128.1584201,126.4651545,7.802618063,8.793156871,9.718602713,9.805157818,9.952277717,9.952277717,9.826714494,9.590145733,9.47738597,,,,,,,8.546751994,8.626585568,8.41803562,7847.329796,13053.79902,28322.88793,40401.42463,51820.55223,61337.79972,79594.31942,77458.23936,71946.85659
6,28,Kondopoga,Karel'skaia ASSR,Severno-Zapadny,,1,1,27.0,62.21,34.26,"3870,0841","1173,7476","2131,3146",,2606,13374,16060,27900,35200,36365,34863,32978,11967.62385,19536.3541,41864.70969,58368.30188,74488.29595,88011.72078,111848.8274,109478.4383,102200.4879,,61.86721908,90.27028939,93.78154078,104.7835158,109.5958019,110.278605,109.394475,108.2348087,88.17135387,97.61503868,113.2563889,120.4402702,125.8524378,129.6233546,135.138381,134.6408154,133.0491133,,7.865571758,9.501067803,9.684086988,10.23638197,10.46880136,10.50136205,10.45918137,10.40359595,7.802618063,8.793156871,9.718602713,9.805157818,9.952277717,9.952277717,9.826714494,9.590145733,9.47738597,8160.901128,13801.86455,30082.57344,43242.08494,55587.59581,65736.18442,84894.24522,82512.70654,76547.95599
7,31,Lakhdenpokh'ia,Karel'skaia ASSR,Severno-Zapadny,,1,1,27.0,61.52,30.19,"3784,7104","911,4361","1857,2888",,,,7800,7900,9500,10429,8751,7818,15397.41578,23502.44434,49127.44621,63560.63615,79257.85978,93359.62893,117672.4907,114676.8886,108234.6509,,,,80.31527544,80.54376894,83.88814337,85.60590033,82.39053584,80.35659562,92.9672956,101.301401,116.6869446,122.3180619,127.2488199,130.9700408,136.3210491,135.7195593,134.3757819,,,,8.961879013,8.974618038,9.159047078,9.252345666,9.076923259,8.964184046,,7.865571758,9.501067803,9.684086988,10.23638197,10.46880136,10.50136205,10.45918137,10.40359595,11967.62385,19536.3541,41864.70969,58368.30188,74488.29595,88011.72078,111848.8274,109478.4383,102200.4879
8,34,Loukhi,Karel'skaia ASSR,Severno-Zapadny,,,1,1.0,66.07,33.05,"4365,2449","1092,3025","2183,6135",,,,,,,6405,5920,4778,7271.632573,12273.00271,27073.99716,39263.47488,50535.28294,59783.67504,77855.48656,75332.65079,69799.94295,,,,,,,76.8223188,75.44818951,71.77101109,79.06297102,88.64518562,104.1691523,111.8951412,117.2981499,120.9667363,126.8463761,126.1054643,124.3980744,,,,,,,8.764834214,8.686091728,8.471777328,,,,8.961879013,8.974618038,9.159047078,9.252345666,9.076923259,8.964184046,15397.41578,23502.44434,49127.44621,63560.63615,79257.85978,93359.62893,117672.4907,114676.8886,108234.6509
9,37,Piaozerskii,Karel'skaia ASSR,Severno-Zapadny,,,,1.0,65.77,31.08,"4325,6929","965,9664","2044,1316",,,,,,,2632,2603,2099,7391.733694,12359.12337,26987.92026,38801.5592,49850.29508,58987.49669,76605.87028,74390.19186,69019.66296,,,,,,,62.02348911,61.84910044,58.51051031,79.35455893,88.77690692,104.1041607,111.6449144,117.002723,120.6719997,126.482165,125.8228699,124.1474334,,,,,,,7.875499292,7.864419905,7.64921632,,,,,,,8.764834214,8.686091728,8.471777328,7271.632573,12273.00271,27073.99716,39263.47488,50535.28294,59783.67504,77855.48656,75332.65079,69799.94295
