,ID89,name89,region,okrug,oblast_center,CityStatus,RaionCenter,Gubernia,Latitude,Longitude,lat2,long2,latlong,pop1897,pop1926,mp1897,mp1926,spop1897,spop1926,smp1897,smp1926,URAL,YUZHNY,DALNEV,PRIVOL,SEVER_ZAPAD,SIBIRSKII,TSENTRALNY,HBR,LBR
0,6,Petrozavodsk,Karel'skaia ASSR,Severno-Zapadny,1,1,0,27.0,61.79,34.38,3818.0041,1181.9844,2124.3402,12522,26344,12469.55297,20188.99521,89.02379870000001,103.611956,88.94461337,98.2654465,0,0,0,0,1,0,0,0,0
25,82,Syktyvkar,Komi ASSR,Severno-Zapadny,1,1,0,7.0,61.68,50.81,3804.4224,2581.6561,3133.9608,4464,4980,8425.678681,14862.55007,70.62386291,72.47432174,81.7042316,92.28676183,0,0,0,0,1,0,0,0,0
57,180,Arkhangel'sk,Arkhangel'skaia oblast',Severno-Zapadny,1,1,0,1.0,64.53,40.56,4164.1209,1645.1136,2617.3368,20882,71091,8095.851154000001,13741.766480000002,98.93570345,124.807239,80.98392691,90.78650228,0,0,0,0,1,0,0,0,0
110,279,Vologda,Vologodskaia oblast',Severno-Zapadny,1,1,0,7.0,59.22,39.88,3507.0084,1590.4144,2361.6936,27705,57081,14684.424719999999,25592.73748,104.6399734,119.9512673,92.05524902,103.0237971,0,0,0,0,1,0,0,0,0
111,284,Velikii Ustiug,Vologodskaia oblast',Severno-Zapadny,0,1,0,7.0,60.76,46.18,3691.7776,2132.5924,2805.8968,11137,19092,10151.88398,17928.34528,86.82564911,97.16093551,85.10827419,95.92514454,0,0,0,0,1,0,0,0,0
114,288,Cherepovets,Vologodskaia oblast',Severno-Zapadny,0,1,0,26.0,59.12,38.0,3495.1744,1444.0,2246.56,6948,21189,15602.328619999998,26686.18375,78.25541593,99.2262517,93.22241302,103.874851,0,0,0,0,1,0,0,0,0
117,295,Belozersk,Vologodskaia oblast',Severno-Zapadny,0,1,1,26.0,60.03,37.79,3603.6009,1428.0841,2268.5337,5015,6973,13957.779380000002,23612.295769999997,72.59361549,78.31897468,91.08397134,101.3952907,0,0,0,0,1,0,0,0,0
121,307,Vytegra,Vologodskaia oblast',Severno-Zapadny,0,1,1,27.0,61.02,36.45,3723.4404,1328.6025,2224.179,4502,5089,12877.97812,21382.11848,70.76640469,72.84343624,89.55355498,99.40708681,0,0,0,0,1,0,0,0,0
126,315,Kirillov,Vologodskaia oblast',Severno-Zapadny,0,1,1,26.0,59.85,38.39,3582.0225,1473.7921,2297.6415,4306,4251,14151.473219999998,24212.034069999998,70.01948571,69.80451323,91.34722099,101.90105140000001,0,0,0,0,1,0,0,0,0
134,335,Tot'ma,Vologodskaia oblast',Severno-Zapadny,0,1,1,7.0,59.97,42.76,3596.4009,1828.4176,2564.3172,4947,5434,12197.91402,21278.1241,72.36116512,73.96740977,88.52966177,99.30989048,0,0,0,0,1,0,0,0,0
