,ID89,name89,region,okrug,oblast_center,CityStatus,RaionCenter,Gubernia,Latitude,Longitude,lat2,long2,latlong,pop1897,pop1926,mp1897,mp1926,spop1897,spop1926,smp1897,smp1926,URAL,YUZHNY,DALNEV,PRIVOL,SEVER_ZAPAD,SIBIRSKII,TSENTRALNY,HBR,LBR
2,10,Sortavala,Karel'skaia ASSR,Severno-Zapadny,0,1,0,27.0,61.71,30.07,3808.1241,942.49,1894.497,2041,4732,14388.69825,22170.247040000002,58.08261571,71.60719099,91.66527374,100.1301712,0,0,0,0,1,0,0,0,0
5,24,Kem',Karel'skaia ASSR,Severno-Zapadny,0,1,1,1.0,64.96,34.57,4219.8016,1195.0849,2245.6672,2447,6589,8160.901128,13801.86455,60.88084864,77.31960776,81.12802829,90.8696806,0,0,0,0,1,0,0,0,0
13,43,Povenets,Karel'skaia ASSR,Severno-Zapadny,0,0,0,27.0,62.86,34.82,3951.3796,1212.4324,2188.7852,1294,2103,10592.64915,17582.6785,51.34429674,58.53963994,85.89425889,95.54416423,0,0,0,0,1,0,0,0,0
15,49,Olonets,Karel'skaia ASSR,Severno-Zapadny,0,1,1,27.0,60.97,32.98,3717.3409,1087.6804,2010.7906,1246,1701,15977.64954,24952.66781,50.80401747,55.33829835,93.68199801,102.51027950000001,0,0,0,0,1,0,0,0,0
21,68,Pudozh,Karel'skaia ASSR,Severno-Zapadny,0,1,1,27.0,61.82,36.54,3821.7124,1335.1716,2258.9028,1455,2189,11708.20751,19459.95912,53.038610399999996,59.15455894,87.76027408,97.53763278,0,0,0,0,1,0,0,0,0
42,143,Sosnogorsk,Komi ASSR,Severno-Zapadny,0,1,1,7.0,63.58,53.92,4042.4164,2907.3664,3428.2336,2166,6710,6961.7336,12299.10483,58.99219129,77.63996337,78.29035661,88.68519576,0,0,0,0,1,0,0,0,0
61,191,Onega,Arkhangel'skaia oblast',Severno-Zapadny,0,1,0,1.0,63.91,38.1,4084.4881,1451.61,2434.971,2541,5254,8981.53498,15355.76144,61.47050768,73.38911939,82.86326322,92.91506385,0,0,0,0,1,0,0,0,0
63,195,Vel'sk,Arkhangel'skaia oblast',Severno-Zapadny,0,1,1,7.0,61.07,42.09,3729.5449,1771.5681,2570.4363,1989,3486,11052.25179,19117.55025,57.68990792,66.52865907,86.68335204,97.18730238,0,0,0,0,1,0,0,0,0
70,210,Kargopol',Arkhangel'skaia oblast',Severno-Zapadny,0,1,1,27.0,61.5,38.93,3782.25,1515.5449,2394.195,3057,3449,11377.48312,19332.42023,64.40366365,66.354703,87.22423389,97.40779553,0,0,0,0,1,0,0,0,0
75,217,Sol'vychegodsk,Arkhangel'skaia oblast',Severno-Zapadny,0,1,0,7.0,61.33,46.92,3761.3689,2201.4864,2877.6036,1788,2129,9624.299334000001,17127.36213,56.08291859,58.72781704,84.12643443,95.03193792,0,0,0,0,1,0,0,0,0
