,ID89,name89,region,okrug,oblast_center,CityStatus,RaionCenter,Gubernia,Latitude,Longitude,lat2,long2,latlong,pop1897,pop1926,pop1939,mp1897,mp1926,mp1939,spop1897,spop1926,spop1939,smp1897,smp1926,smp1939,URAL,YUZHNY,DALNEV,PRIVOL,SEVER_ZAPAD,SIBIRSKII,TSENTRALNY,HBR,LBR
1,8,Kostomuksha,Karel'skaia ASSR,Severno-Zapadny,0,1,0,27.0,64.8,30.67,4199.04,940.6489,1987.4160000000002,0,NA,NA,8175.21833,13509.87759,29156.470060000003,0.0,NA,NA,81.15960719,90.46247594,105.6872847,0,0,0,0,1,0,0,0,0
2,10,Sortavala,Karel'skaia ASSR,Severno-Zapadny,0,1,0,27.0,61.71,30.07,3808.1241,942.49,1894.497,2041,4732,4577,14388.69825,22170.247040000002,46662.63678,58.08261571,71.60719099,71.04465327,91.66527374,100.1301712,115.57753020000001,0,0,0,0,1,0,0,0,0
3,15,Belomorsk,Karel'skaia ASSR,Severno-Zapadny,0,1,1,1.0,64.55,34.77,4166.7025,1208.9529,2244.4035,0,6114,10457,8592.512011,14416.26459,31461.93916,0.0,76.00939137,85.65552273,82.05907472,91.70192742,107.2577926,0,0,0,0,1,0,0,0,0
4,21,Kalevala,Karel'skaia ASSR,Severno-Zapadny,0,0,1,27.0,65.21,31.2,4252.3441,973.44,2034.5520000000001,0,NA,NA,7847.329795999999,13053.79902,28322.88793,0.0,NA,NA,80.42374337,89.81039181,105.09172509999999,0,0,0,0,1,0,0,0,0
5,24,Kem',Karel'skaia ASSR,Severno-Zapadny,0,1,1,1.0,64.96,34.57,4219.8016,1195.0849,2245.6672,2447,6589,16624,8160.901128,13801.86455,30082.573439999996,60.88084864,77.31960776,94.4512387,81.12802829,90.8696806,106.33118429999999,0,0,0,0,1,0,0,0,0
7,31,Lakhdenpokh'ia,Karel'skaia ASSR,Severno-Zapadny,0,1,1,27.0,61.52,30.19,3784.7104,911.4361,1857.2888,0,NA,NA,15397.415780000001,23502.444340000002,49127.44621,0.0,NA,NA,92.96729559999999,101.301401,116.6869446,0,0,0,0,1,0,0,0,0
8,34,Loukhi,Karel'skaia ASSR,Severno-Zapadny,0,0,1,1.0,66.07,33.05,4365.2449,1092.3025,2183.6135,0,NA,NA,7271.632573000001,12273.002709999999,27073.997160000003,0.0,NA,NA,79.06297102,88.64518562,104.1691523,0,0,0,0,1,0,0,0,0
9,37,Piaozerskii,Karel'skaia ASSR,Severno-Zapadny,0,0,0,1.0,65.77,31.08,4325.6929,965.9664,2044.1316,0,NA,NA,7391.733694,12359.123370000001,26987.920260000003,0.0,NA,NA,79.35455893,88.77690692,104.10416070000001,0,0,0,0,1,0,0,0,0
10,39,Chupa,Karel'skaia ASSR,Severno-Zapadny,0,0,0,1.0,66.28,33.06,4393.0384,1092.9636,2191.2168,0,NA,NA,7125.842562999999,12048.55989,26699.2539,0.0,NA,NA,78.7032151,88.2979788,103.8848323,0,0,0,0,1,0,0,0,0
12,42,Pindushi,Karel'skaia ASSR,Severno-Zapadny,0,0,0,27.0,62.93,34.56,3960.1849,1194.3936,2174.8608,0,NA,NA,10611.16645,17804.91057,39192.83678,0.0,NA,NA,85.92663664,95.78986271,111.85704869999999,0,0,0,0,1,0,0,0,0
14,45,Muezerskii,Karel'skaia ASSR,Severno-Zapadny,0,0,1,27.0,63.96,32.0,4090.8816,1024.0,2046.72,0,NA,NA,9191.107385,15106.6159,32488.24099,0.0,NA,NA,83.28372464,92.59997473,107.9237057,0,0,0,0,1,0,0,0,0
16,50,Il'inskii,Karel'skaia ASSR,Severno-Zapadny,0,0,0,27.0,61.0,32.68,3721.0,1067.9824,1993.48,0,NA,NA,16395.50306,25387.17178,53556.98216,0.0,NA,NA,94.18241271,102.8601493,118.5594639,0,0,0,0,1,0,0,0,0
17,52,Pitkiaranta,Karel'skaia ASSR,Severno-Zapadny,0,1,1,27.0,61.57,31.48,3790.8649,990.9904,1938.2236,0,NA,NA,14911.5156,23051.54784,48483.29703,0.0,NA,NA,92.34996761,100.9118331,116.40197350000001,0,0,0,0,1,0,0,0,0
18,54,Liaskelia,Karel'skaia ASSR,Severno-Zapadny,0,0,0,27.0,61.57,31.02,3790.8649,962.2404,1909.9014,0,NA,NA,15127.501580000002,23294.75809,48792.89192,0.0,NA,NA,92.62656655,101.122807,116.53936409999999,0,0,0,0,1,0,0,0,0
19,63,Shuia,Karel'skaia ASSR,Severno-Zapadny,0,0,0,27.0,61.95,34.23,3837.8025,1171.6929,2120.5485,0,NA,NA,12856.082690000001,21165.648830000002,45933.037130000004,0.0,NA,NA,89.52135113,99.2042854,115.2389347,0,0,0,0,1,0,0,0,0
20,65,Priazha,Karel'skaia ASSR,Severno-Zapadny,0,0,1,27.0,61.7,33.61,3806.89,1129.6321,2073.737,0,NA,NA,13362.28896,21506.42599,45993.66033,0.0,NA,NA,90.25364351,99.52271192,115.26725400000001,0,0,0,0,1,0,0,0,0
22,72,Segezha,Karel'skaia ASSR,Severno-Zapadny,0,1,1,27.0,63.7,34.13,4057.69,1164.8569,2174.081,0,NA,4845,9514.185013,15804.659930000002,34091.85915,0.0,NA,72.00714733,83.91547703,93.47138625,108.9270844,0,0,0,0,1,0,0,0,0
23,74,Nadvoitsy,Karel'skaia ASSR,Severno-Zapadny,0,0,0,27.0,63.89,34.26,4081.9321,1173.7476,2188.8714,0,NA,NA,9279.264131999998,15476.022509999999,33649.67516,0.0,NA,NA,83.4580459,93.0655191,108.65474509999999,0,0,0,0,1,0,0,0,0
24,77,Suoiarvi,Karel'skaia ASSR,Severno-Zapadny,0,1,1,27.0,62.09,32.38,3855.1681,1048.4644,2010.4742,0,NA,NA,12692.97277,20184.78082,42866.54907,0.0,NA,NA,89.27989313,98.26130755,113.7602935,0,0,0,0,1,0,0,0,0
25,82,Syktyvkar,Komi ASSR,Severno-Zapadny,1,1,0,7.0,61.68,50.81,3804.4224,2581.6561,3133.9608,4464,4980,24302,8425.678681,14862.55007,32761.50195,70.62386291,72.47432174,101.9759442,81.7042316,92.28676183,108.09780409999999,0,0,0,0,1,0,0,0,0
26,87,Vorkuta,Komi ASSR,Severno-Zapadny,0,1,0,1.0,67.48,64.03,4553.5504,4099.8409,4320.7444,0,NA,NA,4829.08135,8637.603405,19311.50673,0.0,NA,NA,71.95130539,82.15392862,97.38643173,0,0,0,0,1,0,0,0,0
27,101,Inta,Komi ASSR,Severno-Zapadny,0,1,0,1.0,66.03,60.17,4359.9609,3620.4289,3973.0251,0,NA,NA,5457.388051,9720.048282,21673.821930000002,0.0,NA,NA,74.04130223,84.30812986,99.67746946,0,0,0,0,1,0,0,0,0
28,105,Pechora,Komi ASSR,Severno-Zapadny,0,1,0,1.0,65.14,57.23,4243.2196,3275.2729,3727.9622,0,NA,NA,5999.963982,10657.23968,23698.798919999997,0.0,NA,NA,75.68145241,86.00697811,101.46894820000001,0,0,0,0,1,0,0,0,0
29,106,Usinsk,Komi ASSR,Severno-Zapadny,0,1,0,1.0,66.01,57.55,4357.3201,3312.0025,3798.8755,0,NA,NA,5708.190157999999,10140.52306,22518.3197,0.0,NA,NA,74.81657128,85.08761566,100.442177,0,0,0,0,1,0,0,0,0
30,108,Ukhta,Komi ASSR,Severno-Zapadny,0,1,0,7.0,63.57,53.67,4041.1449,2880.4689,3411.8019,0,NA,2669,7175.344881999999,12902.935529999999,28341.03097,0.0,NA,62.24356567,78.826095,89.59020271,105.104855,0,0,0,0,1,0,0,0,0
31,114,Vuktyl,Komi ASSR,Severno-Zapadny,0,1,1,7.0,63.87,57.32,4079.3769,3285.5824,3661.0284,0,NA,NA,6409.433507,11400.77583,25451.673469999998,0.0,NA,NA,76.83444903,87.26243939,102.9116264,0,0,0,0,1,0,0,0,0
32,116,Shchel'iaiur,Komi ASSR,Severno-Zapadny,0,0,0,1.0,65.33,53.43,4268.0089,2854.7649,3490.5819,0,NA,NA,6342.904939999999,11246.13632,24773.47829,0.0,NA,NA,76.65163829,87.00747806,102.36439179999999,0,0,0,0,1,0,0,0,0
33,117,Izhma,Komi ASSR,Severno-Zapadny,0,0,1,1.0,65.01,53.93,4226.3001,2908.4449,3505.9893,0,NA,NA,6408.678500999999,11352.10928,25081.91059,0.0,NA,NA,76.83238383,87.1825353,102.614918,0,0,0,0,1,0,0,0,0
34,120,Emva,Komi ASSR,Severno-Zapadny,0,1,1,7.0,62.56,50.83,3913.7536,2583.6889,3179.9248,0,NA,NA,7968.029759999999,14005.204,30984.6073,0.0,NA,NA,80.69774811,91.14872718,106.94136509999998,0,0,0,0,1,0,0,0,0
35,122,Sindor,Komi ASSR,Severno-Zapadny,0,0,0,7.0,62.86,51.88,3951.3796,2691.5344,3261.1768,0,NA,NA,7625.107258,13443.08479,29778.020439999997,0.0,NA,NA,79.90932646,90.3682208,106.12143449999999,0,0,0,0,1,0,0,0,0
36,126,Koigorodok,Komi ASSR,Severno-Zapadny,0,0,1,7.0,60.46,51.02,3655.4116,2603.0404,3084.6692,0,NA,NA,9196.763782,16264.83686,36059.15132,0.0,NA,NA,83.29495421,94.02717018,110.10128540000001,0,0,0,0,1,0,0,0,0
37,129,Kortkeros,Komi ASSR,Severno-Zapadny,0,0,1,7.0,61.8,51.6,3819.24,2662.56,3188.88,0,NA,NA,8302.285645,14602.698190000001,32576.873030000002,0.0,NA,NA,81.43774024,91.94818453,107.980319,0,0,0,0,1,0,0,0,0
38,133,"Iz""iaiu",Komi ASSR,Severno-Zapadny,0,0,0,1.0,65.11,56.98,4239.3121,3246.7204,3709.9678,0,NA,NA,6036.579009,10719.715709999999,23828.8883,0.0,NA,NA,75.78734498,86.11542884,101.57926479999999,0,0,0,0,1,0,0,0,0
39,135,Kozhva,Komi ASSR,Severno-Zapadny,0,0,0,1.0,65.11,57.05,4239.3121,3254.7025,3714.5255,0,NA,NA,6028.949177,10706.923920000001,23803.435830000002,0.0,NA,NA,75.76532608,86.09326986,101.55772370000001,0,0,0,0,1,0,0,0,0
40,137,Puteets,Komi ASSR,Severno-Zapadny,0,0,0,1.0,65.17,57.1,4247.1289,3260.41,3721.2070000000003,0,NA,NA,6004.626034000001,10663.96176,23706.5426,0.0,NA,NA,75.69496703,86.01867402,101.4755301,0,0,0,0,1,0,0,0,0
41,140,Ob'iachevo,Komi ASSR,Severno-Zapadny,0,0,1,7.0,60.43,49.61,3651.7849,2461.1521,2997.9323,0,NA,NA,9575.782187,16889.41797,37195.78165,0.0,NA,NA,84.03375152,94.75937175,110.75353700000001,0,0,0,0,1,0,0,0,0
42,143,Sosnogorsk,Komi ASSR,Severno-Zapadny,0,1,1,7.0,63.58,53.92,4042.4164,2907.3664,3428.2336,2166,6710,11255,6961.7336,12299.10483,27521.70897,58.99219129,77.63996337,87.02217633,78.29035661,88.68519576,104.50421659999999,0,0,0,0,1,0,0,0,0
43,144,Voivozh,Komi ASSR,Severno-Zapadny,0,0,0,7.0,62.9,54.96,3956.41,3020.6016,3456.9840000000004,0,NA,NA,7127.444474,12660.42595,28226.61976,0.0,NA,NA,78.70720338,89.231381,105.0219298,0,0,0,0,1,0,0,0,0
44,146,Nizhnii Odes,Komi ASSR,Severno-Zapadny,0,0,0,7.0,63.65,54.85,4051.3225,3008.5225,3491.2025,0,NA,NA,6851.263312,12185.24364,27066.20868,0.0,NA,NA,78.00755086,88.51010576,104.16327940000001,0,0,0,0,1,0,0,0,0
