,ID89,name89,region,okrug,oblast_center,CityStatus,RaionCenter,Gubernia,Latitude,Longitude,lat2,long2,latlong,pop1926,pop1939,pop1959,mp1926,mp1939,mp1959,spop1926,spop1939,spop1959,smp1926,smp1939,smp1959,URAL,YUZHNY,DALNEV,PRIVOL,SEVER_ZAPAD,SIBIRSKII,TSENTRALNY,HBR,LBR
1,8,Kostomuksha,Karel'skaia ASSR,Severno-Zapadny,0,1,0,27.0,64.8,30.67,4199.04,940.6489,1987.4160000000002,0,NA,NA,13509.87759,29156.470060000003,41289.878339999996,0.0,NA,NA,90.46247594,105.6872847,112.9623057,0,0,0,0,1,0,0,0,0
2,10,Sortavala,Karel'skaia ASSR,Severno-Zapadny,0,1,0,27.0,61.71,30.07,3808.1241,942.49,1894.497,4732,4577,17611,22170.247040000002,46662.63678,61054.38345,71.60719099,71.04465327,95.57563081,100.1301712,115.57753020000001,121.4298272,0,0,0,0,1,0,0,0,0
4,21,Kalevala,Karel'skaia ASSR,Severno-Zapadny,0,0,1,27.0,65.21,31.2,4252.3441,973.44,2034.5520000000001,0,NA,NA,13053.79902,28322.88793,40401.42463,0.0,NA,NA,89.81039181,105.09172509999999,112.50039479999998,0,0,0,0,1,0,0,0,0
7,31,Lakhdenpokh'ia,Karel'skaia ASSR,Severno-Zapadny,0,1,1,27.0,61.52,30.19,3784.7104,911.4361,1857.2888,0,NA,7800,23502.444340000002,49127.44621,63560.63615,0.0,NA,80.31527544,101.301401,116.6869446,122.31806189999999,0,0,0,0,1,0,0,0,0
8,34,Loukhi,Karel'skaia ASSR,Severno-Zapadny,0,0,1,1.0,66.07,33.05,4365.2449,1092.3025,2183.6135,0,NA,NA,12273.002709999999,27073.997160000003,39263.47488,0.0,NA,NA,88.64518562,104.1691523,111.8951412,0,0,0,0,1,0,0,0,0
9,37,Piaozerskii,Karel'skaia ASSR,Severno-Zapadny,0,0,0,1.0,65.77,31.08,4325.6929,965.9664,2044.1316,0,NA,NA,12359.123370000001,26987.920260000003,38801.5592,0.0,NA,NA,88.77690692,104.10416070000001,111.6449144,0,0,0,0,1,0,0,0,0
10,39,Chupa,Karel'skaia ASSR,Severno-Zapadny,0,0,0,1.0,66.28,33.06,4393.0384,1092.9636,2191.2168,0,NA,NA,12048.55989,26699.2539,38849.476539999996,0.0,NA,NA,88.2979788,103.8848323,111.670997,0,0,0,0,1,0,0,0,0
12,42,Pindushi,Karel'skaia ASSR,Severno-Zapadny,0,0,0,27.0,62.93,34.56,3960.1849,1194.3936,2174.8608,0,NA,NA,17804.91057,39192.83678,54813.37749,0.0,NA,NA,95.78986271,111.85704869999999,119.06496899999999,0,0,0,0,1,0,0,0,0
13,43,Povenets,Karel'skaia ASSR,Severno-Zapadny,0,0,0,27.0,62.86,34.82,3951.3796,1212.4324,2188.7852,2103,NA,NA,17582.6785,38223.810489999996,53616.07522,58.53963994,NA,NA,95.54416423,111.328115,118.58347990000001,0,0,0,0,1,0,0,0,0
14,45,Muezerskii,Karel'skaia ASSR,Severno-Zapadny,0,0,1,27.0,63.96,32.0,4090.8816,1024.0,2046.72,0,NA,NA,15106.6159,32488.24099,45611.75055,0.0,NA,NA,92.59997473,107.9237057,115.0882815,0,0,0,0,1,0,0,0,0
