,ID89,name89,region,okrug,oblast_center,CityStatus,RaionCenter,Gubernia,Latitude,Longitude,lat2,long2,latlong,pop1926,pop1939,pop1959,pop1970,mp1926,mp1939,mp1959,mp1970,spop1926,spop1939,spop1959,spop1970,smp1926,smp1939,smp1959,smp1970,URAL,YUZHNY,DALNEV,PRIVOL,SEVER_ZAPAD,SIBIRSKII,TSENTRALNY,HBR,LBR
1,8,Kostomuksha,Karel'skaia ASSR,Severno-Zapadny,0,1,0,27.0,64.8,30.67,4199.04,940.6489,1987.4160000000002,0,0,NA,NA,13509.87759,29156.470060000003,41289.878339999996,52873.1446,0.0,0.0,NA,NA,90.46247594,105.6872847,112.9623057,118.2797809,0,0,0,0,1,0,0,0,0
4,21,Kalevala,Karel'skaia ASSR,Severno-Zapadny,0,0,1,27.0,65.21,31.2,4252.3441,973.44,2034.5520000000001,0,0,NA,NA,13053.79902,28322.88793,40401.42463,51820.55223,0.0,0.0,NA,NA,89.81039181,105.09172509999999,112.50039479999998,117.84279450000001,0,0,0,0,1,0,0,0,0
5,24,Kem',Karel'skaia ASSR,Severno-Zapadny,0,1,1,1.0,64.96,34.57,4219.8016,1195.0849,2245.6672,6589,16624,18127,21000,13801.86455,30082.573439999996,43242.08494,55587.59581,77.31960776,94.4512387,96.14111984,99.04783175,90.8696806,106.33118429999999,113.9464338,119.3712561,0,0,0,0,1,0,0,0,0
6,28,Kondopoga,Karel'skaia ASSR,Severno-Zapadny,0,1,1,27.0,62.21,34.26,3870.0841,1173.7476,2131.3146,2606,13374,16060,27900,19536.3541,41864.709689999996,58368.30187999999,74488.29595,61.86721908,90.27028939,93.78154078,104.78351579999999,97.61503868,113.25638889999999,120.4402702,125.8524378,0,0,0,0,1,0,0,0,0
7,31,Lakhdenpokh'ia,Karel'skaia ASSR,Severno-Zapadny,0,1,1,27.0,61.52,30.19,3784.7104,911.4361,1857.2888,0,0,7800,7900,23502.444340000002,49127.44621,63560.63615,79257.85978,0.0,0.0,80.31527544,80.54376894,101.301401,116.6869446,122.31806189999999,127.2488199,0,0,0,0,1,0,0,0,0
8,34,Loukhi,Karel'skaia ASSR,Severno-Zapadny,0,0,1,1.0,66.07,33.05,4365.2449,1092.3025,2183.6135,0,0,NA,NA,12273.002709999999,27073.997160000003,39263.47488,50535.28294,0.0,0.0,NA,NA,88.64518562,104.1691523,111.8951412,117.29814990000001,0,0,0,0,1,0,0,0,0
9,37,Piaozerskii,Karel'skaia ASSR,Severno-Zapadny,0,0,0,1.0,65.77,31.08,4325.6929,965.9664,2044.1316,0,0,NA,NA,12359.123370000001,26987.920260000003,38801.5592,49850.29508,0.0,0.0,NA,NA,88.77690692,104.10416070000001,111.6449144,117.002723,0,0,0,0,1,0,0,0,0
10,39,Chupa,Karel'skaia ASSR,Severno-Zapadny,0,0,0,1.0,66.28,33.06,4393.0384,1092.9636,2191.2168,0,0,NA,NA,12048.55989,26699.2539,38849.476539999996,50027.4968,0.0,0.0,NA,NA,88.2979788,103.8848323,111.670997,117.07949950000001,0,0,0,0,1,0,0,0,0
11,41,Medvezh'egorsk,Karel'skaia ASSR,Severno-Zapadny,0,1,1,27.0,62.91,34.44,3957.6681,1186.1136,2166.6204,2092,12108,15824,17500,17510.1431,37438.51883,52473.8925,67142.42694,58.45941713,88.39049003,93.49503478,95.45204337,95.46336586,110.8904903,118.11496809999998,123.53369779999998,0,0,0,0,1,0,0,0,0
12,42,Pindushi,Karel'skaia ASSR,Severno-Zapadny,0,0,0,27.0,62.93,34.56,3960.1849,1194.3936,2174.8608,0,0,NA,NA,17804.91057,39192.83678,54813.37749,69727.33211,0.0,0.0,NA,NA,95.78986271,111.85704869999999,119.06496899999999,124.37485829999999,0,0,0,0,1,0,0,0,0
