,ID89,name89,region,okrug,oblast_center,CityStatus,RaionCenter,Gubernia,Latitude,Longitude,lat2,long2,latlong,pop1926,pop1939,pop1959,pop1970,pop1979,mp1926,mp1939,mp1959,mp1970,mp1979,spop1926,spop1939,spop1959,spop1970,spop1979,smp1926,smp1939,smp1959,smp1970,smp1979,URAL,YUZHNY,DALNEV,PRIVOL,SEVER_ZAPAD,SIBIRSKII,TSENTRALNY,HBR,LBR
0,6,Petrozavodsk,Karel'skaia ASSR,Severno-Zapadny,1,1,0,27.0,61.79,34.38,3818.0041,1181.9844,2124.3402,26344,69723,136294,192000,234100,20188.99521,43023.3891,58664.87125,74501.47357,87887.14504,103.611956,124.3734725,139.77315190000002,147.9933234,152.8562226,98.2654465,113.83821270000001,120.55153670000001,125.85640670000001,129.5911034,0,0,0,0,1,0,0,0,0
1,8,Kostomuksha,Karel'skaia ASSR,Severno-Zapadny,0,1,0,27.0,64.8,30.67,4199.04,940.6489,1987.4160000000002,0,0,0,NA,4400,13509.87759,29156.470060000003,41289.878339999996,52873.1446,62486.02224,0.0,0.0,0.0,NA,70.38135819,90.46247594,105.6872847,112.9623057,118.2797809,121.94118279999999,0,0,0,0,1,0,0,0,0
2,10,Sortavala,Karel'skaia ASSR,Severno-Zapadny,0,1,0,27.0,61.71,30.07,3808.1241,942.49,1894.497,4732,4577,17611,22200,21600,22170.247040000002,46662.63678,61054.38345,76513.24803999999,90301.52686,71.60719099,71.04465327,95.57563081,100.15701290000001,99.60935413,100.1301712,115.57753020000001,121.4298272,126.4549544,130.20885900000002,0,0,0,0,1,0,0,0,0
3,15,Belomorsk,Karel'skaia ASSR,Severno-Zapadny,0,1,1,1.0,64.55,34.77,4166.7025,1208.9529,2244.4035,6114,10457,14800,16600,18100,14416.26459,31461.93916,44953.61107,57757.288329999996,68240.7633,76.00939137,85.65552273,92.2057489,94.42315909999999,96.11189091,91.70192742,107.2577926,114.7766476,120.2094018,123.89465,0,0,0,0,1,0,0,0,0
4,21,Kalevala,Karel'skaia ASSR,Severno-Zapadny,0,0,1,27.0,65.21,31.2,4252.3441,973.44,2034.5520000000001,0,0,0,NA,NA,13053.79902,28322.88793,40401.42463,51820.55223,61337.79972,0.0,0.0,0.0,NA,NA,89.81039181,105.09172509999999,112.50039479999998,117.84279450000001,121.5319178,0,0,0,0,1,0,0,0,0
5,24,Kem',Karel'skaia ASSR,Severno-Zapadny,0,1,1,1.0,64.96,34.57,4219.8016,1195.0849,2245.6672,6589,16624,18127,21000,21000,13801.86455,30082.573439999996,43242.08494,55587.59581,65736.18442,77.31960776,94.4512387,96.14111984,99.04783175,99.04783175,90.8696806,106.33118429999999,113.9464338,119.3712561,123.06363020000002,0,0,0,0,1,0,0,0,0
6,28,Kondopoga,Karel'skaia ASSR,Severno-Zapadny,0,1,1,27.0,62.21,34.26,3870.0841,1173.7476,2131.3146,2606,13374,16060,27900,35200,19536.3541,41864.709689999996,58368.30187999999,74488.29595,88011.72077999999,61.86721908,90.27028939,93.78154078,104.78351579999999,109.59580190000001,97.61503868,113.25638889999999,120.4402702,125.8524378,129.6233546,0,0,0,0,1,0,0,0,0
8,34,Loukhi,Karel'skaia ASSR,Severno-Zapadny,0,0,1,1.0,66.07,33.05,4365.2449,1092.3025,2183.6135,0,0,0,NA,NA,12273.002709999999,27073.997160000003,39263.47488,50535.28294,59783.675039999995,0.0,0.0,0.0,NA,NA,88.64518562,104.1691523,111.8951412,117.29814990000001,120.9667363,0,0,0,0,1,0,0,0,0
9,37,Piaozerskii,Karel'skaia ASSR,Severno-Zapadny,0,0,0,1.0,65.77,31.08,4325.6929,965.9664,2044.1316,0,0,0,NA,NA,12359.123370000001,26987.920260000003,38801.5592,49850.29508,58987.49669,0.0,0.0,0.0,NA,NA,88.77690692,104.10416070000001,111.6449144,117.002723,120.6719997,0,0,0,0,1,0,0,0,0
10,39,Chupa,Karel'skaia ASSR,Severno-Zapadny,0,0,0,1.0,66.28,33.06,4393.0384,1092.9636,2191.2168,0,0,0,NA,NA,12048.55989,26699.2539,38849.476539999996,50027.4968,59188.83786,0.0,0.0,0.0,NA,NA,88.2979788,103.8848323,111.670997,117.07949950000001,120.74687409999999,0,0,0,0,1,0,0,0,0
