,ID89,name89,region,okrug,oblast_center,CityStatus,RaionCenter,Gubernia,Latitude,Longitude,lat2,long2,latlong,pop1926,pop1939,pop1959,pop1970,pop1979,pop1989,mp1926,mp1939,mp1959,mp1970,mp1979,mp1989,spop1926,spop1939,spop1959,spop1970,spop1979,spop1989,smp1926,smp1939,smp1959,smp1970,smp1979,smp1989,URAL,YUZHNY,DALNEV,PRIVOL,SEVER_ZAPAD,SIBIRSKII,TSENTRALNY,HBR,LBR
2,10,Sortavala,Karel'skaia ASSR,Severno-Zapadny,0,1,0,27.0,61.71,30.07,3808.1241,942.49,1894.497,4732,4577,17611,22200,21600,29708,22170.247040000002,46662.63678,61054.38345,76513.24803999999,90301.52686,114014.5762,71.60719099,71.04465327,95.57563081,100.15701290000001,99.60935413,106.07293670000001,100.1301712,115.57753020000001,121.4298272,126.4549544,130.20885900000002,135.5846358,0,0,0,0,1,0,0,0,0
3,15,Belomorsk,Karel'skaia ASSR,Severno-Zapadny,0,1,1,1.0,64.55,34.77,4166.7025,1208.9529,2244.4035,6114,10457,14800,16600,18100,18935,14416.26459,31461.93916,44953.61107,57757.288329999996,68240.7633,87872.74137,76.00939137,85.65552273,92.2057489,94.42315909999999,96.11189091,96.99821812,91.70192742,107.2577926,114.7766476,120.2094018,123.89465,129.5873718,0,0,0,0,1,0,0,0,0
4,21,Kalevala,Karel'skaia ASSR,Severno-Zapadny,0,0,1,27.0,65.21,31.2,4252.3441,973.44,2034.5520000000001,0,0,0,0,NA,5150,13053.79902,28322.88793,40401.42463,51820.55223,61337.79972,79594.31942,0.0,0.0,0.0,0.0,NA,73.04696964,89.81039181,105.09172509999999,112.50039479999998,117.84279450000001,121.5319178,127.34440910000001,0,0,0,0,1,0,0,0,0
5,24,Kem',Karel'skaia ASSR,Severno-Zapadny,0,1,1,1.0,64.96,34.57,4219.8016,1195.0849,2245.6672,6589,16624,18127,21000,21000,18522,13801.86455,30082.573439999996,43242.08494,55587.59581,65736.18442,84894.24522000001,77.31960776,94.4512387,96.14111984,99.04783175,99.04783175,96.56431774,90.8696806,106.33118429999999,113.9464338,119.3712561,123.06363020000002,128.8034687,0,0,0,0,1,0,0,0,0
6,28,Kondopoga,Karel'skaia ASSR,Severno-Zapadny,0,1,1,27.0,62.21,34.26,3870.0841,1173.7476,2131.3146,2606,13374,16060,27900,35200,36365,19536.3541,41864.709689999996,58368.30187999999,74488.29595,88011.72077999999,111848.8274,61.86721908,90.27028939,93.78154078,104.78351579999999,109.59580190000001,110.278605,97.61503868,113.25638889999999,120.4402702,125.8524378,129.6233546,135.138381,0,0,0,0,1,0,0,0,0
8,34,Loukhi,Karel'skaia ASSR,Severno-Zapadny,0,0,1,1.0,66.07,33.05,4365.2449,1092.3025,2183.6135,0,0,0,0,NA,6405,12273.002709999999,27073.997160000003,39263.47488,50535.28294,59783.675039999995,77855.48656,0.0,0.0,0.0,0.0,NA,76.82231879999999,88.64518562,104.1691523,111.8951412,117.29814990000001,120.9667363,126.8463761,0,0,0,0,1,0,0,0,0
9,37,Piaozerskii,Karel'skaia ASSR,Severno-Zapadny,0,0,0,1.0,65.77,31.08,4325.6929,965.9664,2044.1316,0,0,0,0,NA,2632,12359.123370000001,26987.920260000003,38801.5592,49850.29508,58987.49669,76605.87027999999,0.0,0.0,0.0,0.0,NA,62.02348911,88.77690692,104.10416070000001,111.6449144,117.002723,120.6719997,126.482165,0,0,0,0,1,0,0,0,0
10,39,Chupa,Karel'skaia ASSR,Severno-Zapadny,0,0,0,1.0,66.28,33.06,4393.0384,1092.9636,2191.2168,0,0,0,0,NA,5214,12048.55989,26699.2539,38849.476539999996,50027.4968,59188.83786,77256.17811000001,0.0,0.0,0.0,0.0,NA,73.25823722,88.2979788,103.8848323,111.670997,117.07949950000001,120.74687409999999,126.6723726,0,0,0,0,1,0,0,0,0
11,41,Medvezh'egorsk,Karel'skaia ASSR,Severno-Zapadny,0,1,1,27.0,62.91,34.44,3957.6681,1186.1136,2166.6204,2092,12108,15824,17500,20300,20373,17510.1431,37438.51883,52473.8925,67142.42694,79332.9528,102470.5708,58.45941713,88.39049003,93.49503478,95.45204337,98.37418575,98.44540482,95.46336586,110.8904903,118.11496809999998,123.53369779999998,127.27018600000001,133.11000479999998,0,0,0,0,1,0,0,0,0
12,42,Pindushi,Karel'skaia ASSR,Severno-Zapadny,0,0,0,27.0,62.93,34.56,3960.1849,1194.3936,2174.8608,0,0,0,0,NA,6611,17804.91057,39192.83678,54813.37749,69727.33211,82328.06672,104509.6911,0.0,0.0,0.0,0.0,NA,77.37823997,95.78986271,111.85704869999999,119.06496899999999,124.37485829999999,128.1077033,133.56505990000002,0,0,0,0,1,0,0,0,0
13,43,Povenets,Karel'skaia ASSR,Severno-Zapadny,0,0,0,27.0,62.86,34.82,3951.3796,1212.4324,2188.7852,2103,0,0,0,NA,4208,17582.6785,38223.810489999996,53616.07522,68504.09212,80918.51346,103434.2558,58.53963994,0.0,0.0,0.0,NA,69.63473164,95.54416423,111.328115,118.58347990000001,123.98040300000001,127.7170744,133.3260841,0,0,0,0,1,0,0,0,0
14,45,Muezerskii,Karel'skaia ASSR,Severno-Zapadny,0,0,1,27.0,63.96,32.0,4090.8816,1024.0,2046.72,0,0,0,0,NA,4400,15106.6159,32488.24099,45611.75055,58291.24437000001,68900.6165,88494.88453,0.0,0.0,0.0,0.0,NA,70.38135819,92.59997473,107.9237057,115.0882815,120.4112758,124.1089668,129.74804709999998,0,0,0,0,1,0,0,0,0
16,50,Il'inskii,Karel'skaia ASSR,Severno-Zapadny,0,0,0,27.0,61.0,32.68,3721.0,1067.9824,1993.48,0,0,0,0,NA,3334,25387.17178,53556.98216,69819.41608,87479.06927,103197.6585,129791.6257,0.0,0.0,0.0,0.0,NA,65.8033769,102.8601493,118.5594639,124.4042969,129.4851648,133.2732047,138.61967180000002,0,0,0,0,1,0,0,0,0
18,54,Liaskelia,Karel'skaia ASSR,Severno-Zapadny,0,0,0,27.0,61.57,31.02,3790.8649,962.2404,1909.9014,0,0,0,0,NA,4416,23294.75809,48792.89192,63993.99748,80278.73533,94554.19619,119095.9153,0.0,0.0,0.0,0.0,NA,70.44227422,101.122807,116.53936409999999,122.46840870000001,127.53772250000002,131.2612096,136.601968,0,0,0,0,1,0,0,0,0
19,63,Shuia,Karel'skaia ASSR,Severno-Zapadny,0,0,0,27.0,61.95,34.23,3837.8025,1171.6929,2120.5485,0,0,0,0,NA,3594,21165.648830000002,45933.037130000004,64794.67377,83382.74246000001,98795.82264,124169.0388,0.0,0.0,0.0,0.0,NA,67.02731396,99.2042854,115.2389347,122.74376869999999,128.39601729999998,132.2686445,137.578804,0,0,0,0,1,0,0,0,0
20,65,Priazha,Karel'skaia ASSR,Severno-Zapadny,0,0,1,27.0,61.7,33.61,3806.89,1129.6321,2073.737,0,0,0,0,NA,4421,21506.42599,45993.66033,63001.965939999995,80172.04895,94737.05313,119618.5714,0.0,0.0,0.0,0.0,NA,70.46127062,99.52271192,115.26725400000001,122.12285959999998,127.50768799999999,131.3054833,136.70434630000003,0,0,0,0,1,0,0,0,0
22,72,Segezha,Karel'skaia ASSR,Severno-Zapadny,0,1,1,27.0,63.7,34.13,4057.69,1164.8569,2174.081,0,4845,19708,28800,36400,38207,15804.659930000002,34091.85915,48007.63804,61425.70235,72550.44059,93564.70896,0.0,72.00714733,97.78796838,105.4345074,110.2988105,111.3188325,93.47138625,108.9270844,116.1893289,121.56349440000001,125.2616996,131.0202687,0,0,0,0,1,0,0,0,0
