,ID89,name89,region,okrug,oblast_center,CityStatus,RaionCenter,Gubernia,Latitude,Longitude,lat2,long2,latlong,pop1926,pop1939,pop1959,pop1970,pop1979,pop1989,pop2002,mp1926,mp1939,mp1959,mp1970,mp1979,mp1989,mp2002,spop1926,spop1939,spop1959,spop1970,spop1979,spop1989,spop2002,smp1926,smp1939,smp1959,smp1970,smp1979,smp1989,smp2002,URAL,YUZHNY,DALNEV,PRIVOL,SEVER_ZAPAD,SIBIRSKII,TSENTRALNY,HBR,LBR
0,6,Petrozavodsk,Karel'skaia ASSR,Severno-Zapadny,1,1,0,27.0,61.79,34.38,3818.0041,1181.9844,2124.3402,26344,69723,136294,192000,234100,269485,266160,20188.99521,43023.3891,58664.87125,74501.47357,87887.14504,111983.0228,109624.0164,103.611956,124.3734725,139.77315190000002,147.9933234,152.8562226,156.3567184,156.04638909999997,98.2654465,113.83821270000001,120.55153670000001,125.85640670000001,129.5911034,135.16626069999998,134.67165590000002,0,0,0,0,1,0,0,0,0
1,8,Kostomuksha,Karel'skaia ASSR,Severno-Zapadny,0,1,0,27.0,64.8,30.67,4199.04,940.6489,1987.4160000000002,0,0,0,0,4400,30432,29746,13509.87759,29156.470060000003,41289.878339999996,52873.1446,62486.02224,80496.09891,78466.4716,0.0,0.0,0.0,0.0,70.38135819,106.5694898,106.09926909999999,90.46247594,105.6872847,112.9623057,118.2797809,121.94118279999999,127.5988027,127.02251799999999,0,0,0,0,1,0,0,0,0
2,10,Sortavala,Karel'skaia ASSR,Severno-Zapadny,0,1,0,27.0,61.71,30.07,3808.1241,942.49,1894.497,4732,4577,17611,22200,21600,29708,27527,22170.247040000002,46662.63678,61054.38345,76513.24803999999,90301.52686,114014.5762,111193.4526,71.60719099,71.04465327,95.57563081,100.15701290000001,99.60935413,106.07293670000001,104.5081469,100.1301712,115.57753020000001,121.4298272,126.4549544,130.20885900000002,135.5846358,135.0017833,0,0,0,0,1,0,0,0,0
3,15,Belomorsk,Karel'skaia ASSR,Severno-Zapadny,0,1,1,1.0,64.55,34.77,4166.7025,1208.9529,2244.4035,6114,10457,14800,16600,18100,18935,13103,14416.26459,31461.93916,44953.61107,57757.288329999996,68240.7633,87872.74137,85533.37867,76.00939137,85.65552273,92.2057489,94.42315909999999,96.11189091,96.99821812,89.88170982,91.70192742,107.2577926,114.7766476,120.2094018,123.89465,129.5873718,128.97377120000002,0,0,0,0,1,0,0,0,0
5,24,Kem',Karel'skaia ASSR,Severno-Zapadny,0,1,1,1.0,64.96,34.57,4219.8016,1195.0849,2245.6672,6589,16624,18127,21000,21000,18522,14620,13801.86455,30082.573439999996,43242.08494,55587.59581,65736.18442,84894.24522000001,82512.70654,77.31960776,94.4512387,96.14111984,99.04783175,99.04783175,96.56431774,91.97089519,90.8696806,106.33118429999999,113.9464338,119.3712561,123.06363020000002,128.8034687,128.1584201,0,0,0,0,1,0,0,0,0
6,28,Kondopoga,Karel'skaia ASSR,Severno-Zapadny,0,1,1,27.0,62.21,34.26,3870.0841,1173.7476,2131.3146,2606,13374,16060,27900,35200,36365,34863,19536.3541,41864.709689999996,58368.30187999999,74488.29595,88011.72077999999,111848.8274,109478.4383,61.86721908,90.27028939,93.78154078,104.78351579999999,109.59580190000001,110.278605,109.394475,97.61503868,113.25638889999999,120.4402702,125.8524378,129.6233546,135.138381,134.6408154,0,0,0,0,1,0,0,0,0
11,41,Medvezh'egorsk,Karel'skaia ASSR,Severno-Zapadny,0,1,1,27.0,62.91,34.44,3957.6681,1186.1136,2166.6204,2092,12108,15824,17500,20300,20373,17283,17510.1431,37438.51883,52473.8925,67142.42694,79332.9528,102470.5708,99939.36892000001,58.45941713,88.39049003,93.49503478,95.45204337,98.37418575,98.44540482,95.20838938,95.46336586,110.8904903,118.11496809999998,123.53369779999998,127.27018600000001,133.11000479999998,132.5334881,0,0,0,0,1,0,0,0,0
22,72,Segezha,Karel'skaia ASSR,Severno-Zapadny,0,1,1,27.0,63.7,34.13,4057.69,1164.8569,2174.081,0,4845,19708,28800,36400,38207,34214,15804.659930000002,34091.85915,48007.63804,61425.70235,72550.44059,93564.70896,91292.25706,0.0,72.00714733,97.78796838,105.4345074,110.2988105,111.3188325,109.00174740000001,93.47138625,108.9270844,116.1893289,121.56349440000001,125.2616996,131.0202687,130.45800079999998,0,0,0,0,1,0,0,0,0
25,82,Syktyvkar,Komi ASSR,Severno-Zapadny,1,1,0,7.0,61.68,50.81,3804.4224,2581.6561,3133.9608,4980,24302,64461,125000,171000,234529,232086,14862.55007,32761.50195,51352.83462,66208.52541,78242.51844,103004.069,100861.9449,72.47432174,101.9759442,122.6293935,137.73531599999998,145.18849430000003,152.901498,152.6426465,92.28676183,108.09780409999999,117.6460289,123.2225326,126.95809969999999,133.22985500000001,132.7451461,0,0,0,0,1,0,0,0,0
26,87,Vorkuta,Komi ASSR,Severno-Zapadny,0,1,0,1.0,67.48,64.03,4553.5504,4099.8409,4320.7444,0,0,84125,90000,101100,214527,132378,8637.603405,19311.50673,30742.65972,39771.31045,47307.84899,63268.53736,61786.907660000004,0.0,0.0,128.59693959999998,130.1325381,132.7994739,150.70486259999998,139.0846785,82.15392862,97.38643173,106.7792906,112.16718590000002,115.8729855,122.2161966,121.6928179,0,0,0,0,1,0,0,0,0
