,ID89,name89,region,okrug,oblast_center,CityStatus,RaionCenter,Gubernia,Latitude,Longitude,lat2,long2,latlong,pop1926,pop1939,pop1959,pop1970,pop1979,pop1989,pop2002,mp1926,mp1939,mp1959,mp1970,mp1979,mp1989,mp2002,spop1926,spop1939,spop1959,spop1970,spop1979,spop1989,spop2002,smp1926,smp1939,smp1959,smp1970,smp1979,smp1989,smp2002,URAL,YUZHNY,DALNEV,PRIVOL,SEVER_ZAPAD,SIBIRSKII,TSENTRALNY,HBR,LBR
9,37,Piaozerskii,Karel'skaia ASSR,Severno-Zapadny,0,0,0,1.0,65.77,31.08,4325.6929,965.9664,2044.1316,0,0,0,0,0,2632,2603,12359.123370000001,26987.920260000003,38801.5592,49850.29508,58987.49669,76605.87027999999,74390.19186,0.0,0.0,0.0,0.0,0.0,62.02348911,61.84910044,88.77690692,104.10416070000001,111.6449144,117.002723,120.6719997,126.482165,125.8228699,0,0,0,0,1,0,0,0,0
13,43,Povenets,Karel'skaia ASSR,Severno-Zapadny,0,0,0,27.0,62.86,34.82,3951.3796,1212.4324,2188.7852,2103,0,0,0,0,4208,2608,17582.6785,38223.810489999996,53616.07522,68504.09212,80918.51346,103434.2558,100959.0135,58.53963994,0.0,0.0,0.0,0.0,69.63473164,61.87928805,95.54416423,111.328115,118.58347990000001,123.98040300000001,127.7170744,133.3260841,132.76731270000002,0,0,0,0,1,0,0,0,0
16,50,Il'inskii,Karel'skaia ASSR,Severno-Zapadny,0,0,0,27.0,61.0,32.68,3721.0,1067.9824,1993.48,0,0,0,0,0,3334,3204,25387.17178,53556.98216,69819.41608,87479.06927,103197.6585,129791.6257,126619.2634,0.0,0.0,0.0,0.0,0.0,65.8033769,65.15969132,102.8601493,118.5594639,124.4042969,129.4851648,133.2732047,138.61967180000002,138.0375896,0,0,0,0,1,0,0,0,0
19,63,Shuia,Karel'skaia ASSR,Severno-Zapadny,0,0,0,27.0,61.95,34.23,3837.8025,1171.6929,2120.5485,0,0,0,0,0,3594,3349,21165.648830000002,45933.037130000004,64794.67377,83382.74246000001,98795.82264,124169.0388,121635.0183,0.0,0.0,0.0,0.0,0.0,67.02731396,65.87622610000001,99.2042854,115.2389347,122.74376869999999,128.39601729999998,132.2686445,137.578804,137.0955334,0,0,0,0,1,0,0,0,0
32,116,Shchel'iaiur,Komi ASSR,Severno-Zapadny,0,0,0,1.0,65.33,53.43,4268.0089,2854.7649,3490.5819,0,0,0,0,0,4122,3551,11246.13632,24773.47829,38940.561239999995,50385.11221,59815.197889999996,79228.18346,77190.46842,0.0,0.0,0.0,0.0,0.0,69.29053695,66.83037211,87.00747806,102.36439179999999,111.72049640000002,117.23369550000001,120.9783321,127.240371,126.6532197,0,0,0,0,1,0,0,0,0
33,117,Izhma,Komi ASSR,Severno-Zapadny,0,0,1,1.0,65.01,53.93,4226.3001,2908.4449,3505.9893,0,0,0,0,0,3595,3786,11352.10928,25081.91059,39610.06541,51269.44229,60881.82121,80689.53841000001,78583.06854,0.0,0.0,0.0,0.0,0.0,67.03186934,67.88219754,87.1825353,102.614918,112.0811503,117.61077560000001,121.36745649999999,127.6530338,127.0559898,0,0,0,0,1,0,0,0,0
35,122,Sindor,Komi ASSR,Severno-Zapadny,0,0,0,7.0,62.86,51.88,3951.3796,2691.5344,3261.1768,0,0,0,0,0,2724,3030,13443.08479,29778.020439999997,47134.08705,61102.09642,72471.1884,95590.74747,93403.10403,0.0,0.0,0.0,0.0,0.0,62.56583249999999,64.26135265,90.3682208,106.12143449999999,115.79377790000001,121.44704420000001,125.23723570000001,131.511155,130.980697,0,0,0,0,1,0,0,0,0
36,126,Koigorodok,Komi ASSR,Severno-Zapadny,0,0,1,7.0,60.46,51.02,3655.4116,2603.0404,3084.6692,0,0,0,0,0,2923,3076,16264.83686,36059.15132,56979.509470000005,73817.66814,87406.95736,114899.93400000001,112693.0029,0.0,0.0,0.0,0.0,0.0,63.68623774,64.50315033,94.02717018,110.10128540000001,119.9122895,125.6496034,129.4663973,135.7648368,135.3132558,0,0,0,0,1,0,0,0,0
38,133,"Iz""iaiu",Komi ASSR,Severno-Zapadny,0,0,0,1.0,65.11,56.98,4239.3121,3246.7204,3709.9678,0,0,0,0,0,2588,1716,10719.715709999999,23828.8883,40435.095010000005,52371.6295,62864.65666,84800.73288,80728.63038999999,0.0,0.0,0.0,0.0,0.0,61.75823295,55.46899913,86.11542884,101.57926479999999,112.51806709999998,118.07257040000002,122.07464209999999,128.77845359999998,127.6639789,0,0,0,0,1,0,0,0,0
40,137,Puteets,Komi ASSR,Severno-Zapadny,0,0,0,1.0,65.17,57.1,4247.1289,3260.41,3721.2070000000003,0,0,0,0,0,1485,1286,10663.96176,23706.5426,42155.41807,54679.71875,66096.16595,87673.00884,82890.85215,0.0,0.0,0.0,0.0,0.0,53.336292799999995,51.25546058,86.01867402,101.4755301,113.40372479999999,119.01169509999998,123.1848269,129.5355686,128.2619668,0,0,0,0,1,0,0,0,0
