,ID89,name89,region,okrug,oblast_center,CityStatus,RaionCenter,Gubernia,Latitude,Longitude,lat2,long2,latlong,pop1926,pop1939,pop1959,pop1970,pop1979,pop1989,pop2002,pop2010,mp1926,mp1939,mp1959,mp1970,mp1979,mp1989,mp2002,mp2010,spop1926,spop1939,spop1959,spop1970,spop1979,spop1989,spop2002,spop2010,smp1926,smp1939,smp1959,smp1970,smp1979,smp1989,smp2002,smp2010,URAL,YUZHNY,DALNEV,PRIVOL,SEVER_ZAPAD,SIBIRSKII,TSENTRALNY,HBR,LBR
0,6,Petrozavodsk,Karel'skaia ASSR,Severno-Zapadny,1,1,0,27.0,61.79,34.38,3818.0041,1181.9844,2124.3402,26344,69723,136294,192000,234100,269485,266160,263540,20188.99521,43023.3891,58664.87125,74501.47357,87887.14504,111983.0228,109624.0164,102032.1389,103.611956,124.3734725,139.77315190000002,147.9933234,152.8562226,156.3567184,156.04638909999997,155.79933640000002,98.2654465,113.83821270000001,120.55153670000001,125.85640670000001,129.5911034,135.16626069999998,134.67165590000002,133.0110838,0,0,0,0,1,0,0,0,0
1,8,Kostomuksha,Karel'skaia ASSR,Severno-Zapadny,0,1,0,27.0,64.8,30.67,4199.04,940.6489,1987.4160000000002,0,0,0,0,4400,30432,29746,28993,13509.87759,29156.470060000003,41289.878339999996,52873.1446,62486.02224,80496.09891,78466.4716,72911.87715,0.0,0.0,0.0,0.0,70.38135819,106.5694898,106.09926909999999,105.5717144,90.46247594,105.6872847,112.9623057,118.2797809,121.94118279999999,127.5988027,127.02251799999999,125.37296189999999,0,0,0,0,1,0,0,0,0
2,10,Sortavala,Karel'skaia ASSR,Severno-Zapadny,0,1,0,27.0,61.71,30.07,3808.1241,942.49,1894.497,4732,4577,17611,22200,21600,29708,27527,32269,22170.247040000002,46662.63678,61054.38345,76513.24803999999,90301.52686,114014.5762,111193.4526,104420.354,71.60719099,71.04465327,95.57563081,100.15701290000001,99.60935413,106.07293670000001,104.5081469,107.78306470000001,100.1301712,115.57753020000001,121.4298272,126.4549544,130.20885900000002,135.5846358,135.0017833,133.5452938,0,0,0,0,1,0,0,0,0
3,15,Belomorsk,Karel'skaia ASSR,Severno-Zapadny,0,1,1,1.0,64.55,34.77,4166.7025,1208.9529,2244.4035,6114,10457,14800,16600,18100,18935,13103,11217,14416.26459,31461.93916,44953.61107,57757.288329999996,68240.7633,87872.74137,85533.37867,79383.79514,76.00939137,85.65552273,92.2057489,94.42315909999999,96.11189091,96.99821812,89.88170982,86.95908953,91.70192742,107.2577926,114.7766476,120.2094018,123.89465,129.5873718,128.97377120000002,127.28464170000001,0,0,0,0,1,0,0,0,0
4,21,Kalevala,Karel'skaia ASSR,Severno-Zapadny,0,0,1,27.0,65.21,31.2,4252.3441,973.44,2034.5520000000001,0,0,0,0,0,5150,5578,4528,13053.79902,28322.88793,40401.42463,51820.55223,61337.79972,79594.31942,77458.23936,71946.85659,0.0,0.0,0.0,0.0,0.0,73.04696964,74.41797857,70.86332370000001,89.81039181,105.09172509999999,112.50039479999998,117.84279450000001,121.5319178,127.34440910000001,126.73117620000001,125.0747659,0,0,0,0,1,0,0,0,0
5,24,Kem',Karel'skaia ASSR,Severno-Zapadny,0,1,1,1.0,64.96,34.57,4219.8016,1195.0849,2245.6672,6589,16624,18127,21000,21000,18522,14620,13061,13801.86455,30082.573439999996,43242.08494,55587.59581,65736.18442,84894.24522000001,82512.70654,76547.95599,77.31960776,94.4512387,96.14111984,99.04783175,99.04783175,96.56431774,91.97089519,89.82084482,90.8696806,106.33118429999999,113.9464338,119.3712561,123.06363020000002,128.8034687,128.1584201,126.4651545,0,0,0,0,1,0,0,0,0
6,28,Kondopoga,Karel'skaia ASSR,Severno-Zapadny,0,1,1,27.0,62.21,34.26,3870.0841,1173.7476,2131.3146,2606,13374,16060,27900,35200,36365,34863,32978,19536.3541,41864.709689999996,58368.30187999999,74488.29595,88011.72077999999,111848.8274,109478.4383,102200.4879,61.86721908,90.27028939,93.78154078,104.78351579999999,109.59580190000001,110.278605,109.394475,108.2348087,97.61503868,113.25638889999999,120.4402702,125.8524378,129.6233546,135.138381,134.6408154,133.0491133,0,0,0,0,1,0,0,0,0
7,31,Lakhdenpokh'ia,Karel'skaia ASSR,Severno-Zapadny,0,1,1,27.0,61.52,30.19,3784.7104,911.4361,1857.2888,0,0,7800,7900,9500,10429,8751,7818,23502.444340000002,49127.44621,63560.63615,79257.85978,93359.62892999999,117672.4907,114676.8886,108234.6509,0.0,0.0,80.31527544,80.54376894,83.88814337,85.60590033,82.39053584,80.35659562,101.301401,116.6869446,122.31806189999999,127.2488199,130.9700408,136.32104909999998,135.71955930000001,134.37578190000002,0,0,0,0,1,0,0,0,0
8,34,Loukhi,Karel'skaia ASSR,Severno-Zapadny,0,0,1,1.0,66.07,33.05,4365.2449,1092.3025,2183.6135,0,0,0,0,0,6405,5920,4778,12273.002709999999,27073.997160000003,39263.47488,50535.28294,59783.675039999995,77855.48656,75332.65079,69799.94295,0.0,0.0,0.0,0.0,0.0,76.82231879999999,75.44818951,71.77101109,88.64518562,104.1691523,111.8951412,117.29814990000001,120.9667363,126.8463761,126.1054643,124.3980744,0,0,0,0,1,0,0,0,0
10,39,Chupa,Karel'skaia ASSR,Severno-Zapadny,0,0,0,1.0,66.28,33.06,4393.0384,1092.9636,2191.2168,0,0,0,0,0,5214,4061,2923,12048.55989,26699.2539,38849.476539999996,50027.4968,59188.83786,77256.17811000001,74651.20462,69152.42542999999,0.0,0.0,0.0,0.0,0.0,73.25823722,69.04254752,63.68623774,88.2979788,103.8848323,111.670997,117.07949950000001,120.74687409999999,126.6723726,125.9014591,124.1902608,0,0,0,0,1,0,0,0,0
