,ID89,name89,region,okrug,oblast_center,CityStatus,RaionCenter,Gubernia,Latitude,Longitude,lat2,long2,latlong,pop1926,pop1939,pop1959,pop1970,pop1979,pop1989,pop2002,pop2010,mp1926,mp1939,mp1959,mp1970,mp1979,mp1989,mp2002,mp2010,spop1926,spop1939,spop1959,spop1970,spop1979,spop1989,spop2002,spop2010,smp1926,smp1939,smp1959,smp1970,smp1979,smp1989,smp2002,smp2010,URAL,YUZHNY,DALNEV,PRIVOL,SEVER_ZAPAD,SIBIRSKII,TSENTRALNY,HBR,LBR
4,21,Kalevala,Karel'skaia ASSR,Severno-Zapadny,0,0,1,27.0,65.21,31.2,4252.3441,973.44,2034.5520000000001,0,0,0,0,0,5150,5578,4528,13053.79902,28322.88793,40401.42463,51820.55223,61337.79972,79594.31942,77458.23936,71946.85659,0.0,0.0,0.0,0.0,0.0,73.04696964,74.41797857,70.86332370000001,89.81039181,105.09172509999999,112.50039479999998,117.84279450000001,121.5319178,127.34440910000001,126.73117620000001,125.0747659,0,0,0,0,1,0,0,0,0
7,31,Lakhdenpokh'ia,Karel'skaia ASSR,Severno-Zapadny,0,1,1,27.0,61.52,30.19,3784.7104,911.4361,1857.2888,0,0,7800,7900,9500,10429,8751,7818,23502.444340000002,49127.44621,63560.63615,79257.85978,93359.62892999999,117672.4907,114676.8886,108234.6509,0.0,0.0,80.31527544,80.54376894,83.88814337,85.60590033,82.39053584,80.35659562,101.301401,116.6869446,122.31806189999999,127.2488199,130.9700408,136.32104909999998,135.71955930000001,134.37578190000002,0,0,0,0,1,0,0,0,0
8,34,Loukhi,Karel'skaia ASSR,Severno-Zapadny,0,0,1,1.0,66.07,33.05,4365.2449,1092.3025,2183.6135,0,0,0,0,0,6405,5920,4778,12273.002709999999,27073.997160000003,39263.47488,50535.28294,59783.675039999995,77855.48656,75332.65079,69799.94295,0.0,0.0,0.0,0.0,0.0,76.82231879999999,75.44818951,71.77101109,88.64518562,104.1691523,111.8951412,117.29814990000001,120.9667363,126.8463761,126.1054643,124.3980744,0,0,0,0,1,0,0,0,0
10,39,Chupa,Karel'skaia ASSR,Severno-Zapadny,0,0,0,1.0,66.28,33.06,4393.0384,1092.9636,2191.2168,0,0,0,0,0,5214,4061,2923,12048.55989,26699.2539,38849.476539999996,50027.4968,59188.83786,77256.17811000001,74651.20462,69152.42542999999,0.0,0.0,0.0,0.0,0.0,73.25823722,69.04254752,63.68623774,88.2979788,103.8848323,111.670997,117.07949950000001,120.74687409999999,126.6723726,125.9014591,124.1902608,0,0,0,0,1,0,0,0,0
12,42,Pindushi,Karel'skaia ASSR,Severno-Zapadny,0,0,0,27.0,62.93,34.56,3960.1849,1194.3936,2174.8608,0,0,0,0,0,6611,5190,4599,17804.91057,39192.83678,54813.37749,69727.33211,82328.06672,104509.6911,101696.1667,94569.18755,0.0,0.0,0.0,0.0,0.0,77.37823997,73.17928164,71.12551058,95.78986271,111.85704869999999,119.06496899999999,124.37485829999999,128.1077033,133.56505990000002,132.9350172,131.2648423,0,0,0,0,1,0,0,0,0
13,43,Povenets,Karel'skaia ASSR,Severno-Zapadny,0,0,0,27.0,62.86,34.82,3951.3796,1212.4324,2188.7852,2103,0,0,0,0,4208,2608,2209,17582.6785,38223.810489999996,53616.07522,68504.09212,80918.51346,103434.2558,100959.0135,93931.35249,58.53963994,0.0,0.0,0.0,0.0,69.63473164,61.87928805,59.29454622,95.54416423,111.328115,118.58347990000001,123.98040300000001,127.7170744,133.3260841,132.76731270000002,131.1098167,0,0,0,0,1,0,0,0,0
14,45,Muezerskii,Karel'skaia ASSR,Severno-Zapadny,0,0,1,27.0,63.96,32.0,4090.8816,1024.0,2046.72,0,0,0,0,0,4400,4007,3328,15106.6159,32488.24099,45611.75055,58291.24437000001,68900.6165,88494.88453,86356.29025,80355.84419,0.0,0.0,0.0,0.0,0.0,70.38135819,68.82026629,65.77415674,92.59997473,107.9237057,115.0882815,120.4112758,124.1089668,129.74804709999998,129.1913419,127.55940770000001,0,0,0,0,1,0,0,0,0
15,49,Olonets,Karel'skaia ASSR,Severno-Zapadny,0,1,1,27.0,60.97,32.98,3717.3409,1087.6804,2010.7906,1701,3351,5000,7800,10400,11888,10240,9060,24952.66781,52757.24948,69180.96953999999,86763.73859,102295.7481,129042.7971,126038.8085,118270.0512,55.33829835,65.88591770000001,72.54257986,80.31527544,85.55438027,88.04603302,85.26780681,83.02169919,102.51027950000001,118.2320557,124.19945890000001,129.2983687,133.070607,138.48345600000002,137.9296428,136.4393566,0,0,0,0,1,0,0,0,0
17,52,Pitkiaranta,Karel'skaia ASSR,Severno-Zapadny,0,1,1,27.0,61.57,31.48,3790.8649,990.9904,1938.2236,0,0,0,10300,13800,14361,13347,11484,23051.54784,48483.29703,63639.7063,79583.10463999999,93769.84561,118442.6712,115527.1118,108651.5249,0.0,0.0,0.0,85.37573675,90.86710486,91.62838125,90.23189238,87.39837944,100.9118331,116.40197350000001,122.3455632,127.3412289,131.0704101,136.47343080000002,135.8917227,134.4649205,0,0,0,0,1,0,0,0,0
18,54,Liaskelia,Karel'skaia ASSR,Severno-Zapadny,0,0,0,27.0,61.57,31.02,3790.8649,962.2404,1909.9014,0,0,0,0,0,4416,3668,NA,23294.75809,48792.89192,63993.99748,80278.73533,94554.19619,119095.9153,116073.636,109501.1376,0.0,0.0,0.0,0.0,0.0,70.44227422,67.36144485,NA,101.122807,116.53936409999999,122.46840870000001,127.53772250000002,131.2612096,136.601968,136.001779,134.6456267,0,0,0,0,1,0,0,0,0
